23:59:48  |  Platform  |  Info  |  * Initialise: RenderManager  |  C:\Game_Engine\MyGUI_3.2.2\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreRenderManager.cpp  |  43
23:59:48  |  Core  |  Info  |  * Initialise: InputManager  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_InputManager.cpp  |  46
23:59:48  |  Core  |  Info  |  InputManager successfully initialized  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_InputManager.cpp  |  66
23:59:48  |  Core  |  Info  |  * Initialise: SubWidgetManager  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_SubWidgetManager.cpp  |  36
23:59:48  |  Core  |  Info  |  SubWidgetManager successfully initialized  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_SubWidgetManager.cpp  |  56
23:59:48  |  Core  |  Info  |  * Initialise: SkinManager  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_SkinManager.cpp  |  36
23:59:48  |  Core  |  Info  |  SkinManager successfully initialized  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_SkinManager.cpp  |  46
23:59:48  |  Core  |  Info  |  * Initialise: FontManager  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_FontManager.cpp  |  32
23:59:48  |  Core  |  Info  |  FontManager successfully initialized  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_FontManager.cpp  |  42
23:59:48  |  Core  |  Info  |  * Initialise: ControllerManager  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ControllerManager.cpp  |  33
23:59:48  |  Core  |  Info  |  ControllerManager successfully initialized  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ControllerManager.cpp  |  42
23:59:48  |  Core  |  Info  |  * Initialise: PointerManager  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_PointerManager.cpp  |  43
23:59:48  |  Core  |  Info  |  PointerManager successfully initialized  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_PointerManager.cpp  |  62
23:59:48  |  Core  |  Info  |  * Initialise: ClipboardManager  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ClipboardManager.cpp  |  32
23:59:48  |  Core  |  Info  |  ClipboardManager successfully initialized  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ClipboardManager.cpp  |  39
23:59:48  |  Core  |  Info  |  * Initialise: LayoutManager  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_LayoutManager.cpp  |  28
23:59:48  |  Core  |  Info  |  LayoutManager successfully initialized  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_LayoutManager.cpp  |  35
23:59:48  |  Core  |  Info  |  * Initialise: DynLibManager  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_DynLibManager.cpp  |  26
23:59:48  |  Core  |  Info  |  DynLibManager successfully initialized  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_DynLibManager.cpp  |  30
23:59:48  |  Core  |  Info  |  * Initialise: PluginManager  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_PluginManager.cpp  |  30
23:59:48  |  Core  |  Info  |  PluginManager successfully initialized  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_PluginManager.cpp  |  34
23:59:48  |  Core  |  Info  |  * Initialise: LanguageManager  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_LanguageManager.cpp  |  30
23:59:48  |  Core  |  Info  |  LanguageManager successfully initialized  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_LanguageManager.cpp  |  34
23:59:48  |  Core  |  Info  |  * Initialise: FactoryManager  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_FactoryManager.cpp  |  25
23:59:48  |  Core  |  Info  |  FactoryManager successfully initialized  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_FactoryManager.cpp  |  27
23:59:48  |  Core  |  Info  |  * Initialise: ToolTipManager  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ToolTipManager.cpp  |  33
23:59:48  |  Core  |  Info  |  ToolTipManager successfully initialized  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ToolTipManager.cpp  |  45
23:59:48  |  Core  |  Info  |  Load ini file 'MyGUI_GeneratedFonts.xml'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
23:59:48  |  Core  |  Info  |  Load ini file 'MyGUI_Fonts.xml'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
23:59:48  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'DejaVuSansFont_15' using texture size 128 x 256.  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  782
23:59:48  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'DejaVuSansFont_15' using real height 15 pixels.  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  783
23:59:48  |  Core  |  Info  |  Load ini file 'MyGUI_CommonSkins.xml'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
23:59:48  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTheme.xml'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
23:59:48  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteImages.xml'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
23:59:48  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteSkins.xml'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
23:59:48  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTemplates.xml'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
23:59:48  |  Core  |  Info  |  Load ini file 'MyGUI_PointerImages.xml'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
23:59:48  |  Core  |  Info  |  Load ini file 'MyGUI_Pointers.xml'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
23:59:48  |  Core  |  Info  |  Load ini file 'MyGUI_Layers.xml'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
23:59:48  |  Core  |  Info  |  Load ini file 'MyGUI_Settings.xml'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
23:59:48  |  Core  |  Info  |  Gui successfully initialized  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_Gui.cpp  |  111
23:59:48  |  Core  |  Info  |  Load ini file 'MyGUI_GeneratedFonts.xml'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
23:59:48  |  Core  |  Warning  |  duplicate resource name 'DejaVuSansFontGenerated_15'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Info  |  Load ini file 'MyGUI_Fonts.xml'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
23:59:48  |  Core  |  Warning  |  duplicate resource name 'DejaVuSansFont_15'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'DejaVuSansFont_15' using texture size 128 x 256.  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  782
23:59:48  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'DejaVuSansFont_15' using real height 15 pixels.  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  783
23:59:48  |  Core  |  Info  |  Load ini file 'MyGUI_CommonSkins.xml'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
23:59:48  |  Core  |  Warning  |  duplicate resource name 'PanelEmpty'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'RotatingSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'TextBoxSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'ImageBox'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'Canvas'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'EditClientSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTheme.xml'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
23:59:48  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteImages.xml'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
23:59:48  |  Core  |  Warning  |  duplicate resource name 'MultiListButtonImage'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteSkins.xml'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
23:59:48  |  Core  |  Warning  |  duplicate resource name 'CheckBoxSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'RadioButtonSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'ButtonCloseSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'ButtonDownSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'ButtonUpSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'ButtonLeftSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'ButtonRightSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'SliderTrackVSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'ScrollTrackVSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'SliderTrackHSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'ScrollTrackHSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'ButtonSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'VaderSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'ButtonEmptySkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'EditBoxSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'MenuBarSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'MenuItemSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'ScrollPanelHSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'ScrollPanelVSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'ListBoxItemSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'SepDownHSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'SepUpHSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'SepDownVSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'SepUpVSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'ClientDefaultSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'ClientTileSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'PanelSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'WhiteSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'CaptionEmptySkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'CaptionSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'CaptionWithButtonSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'WindowFrameSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'WindowResizeLeftDownSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'WindowResizeRightDownSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'TabHeaderButtonSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'TabHeaderEmptySkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'TabPanelSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'MenuItemNormalSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'MenuItemPopupButtonSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'MenuItemCheckButtonSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'ProgressBarTrackHSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'MultiListButtonSkin'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTemplates.xml'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
23:59:48  |  Core  |  Warning  |  duplicate resource name 'CheckBox'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'RadioButton'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'ScrollBarH'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'ScrollBarV'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'SliderH'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'SliderV'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'SliderHEmpty'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'SliderVEmpty'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'Button'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'Vader'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'ButtonImage'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'TextBox'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'EditBox'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'EditBoxStretch'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'EditBoxEmpty'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'WordWrapEmpty'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'ComboBox'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'Window'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'WindowC'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'WindowCS'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'WindowCX'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'WindowCSX'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'MenuBar'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'MenuBarButton'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'MenuBarSeparator'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'PopupMenu'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'PopupMenuSeparator'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'PopupMenuNormal'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'PopupMenuPopup'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'ProgressBar'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'ProgressBarFill'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'ListBoxItem'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'ListBox'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'ItemBox'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'ItemBoxEmpty'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
23:59:48  |  Core  |  Warning  |  duplicate resource name 'ScrollView'  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
